waveform	[0]		[1]	
t0	24/10/2022  15:22:58,677474		24/10/2022  15:22:58,677474	
delta t	4,000000E-7		4,000000E-7	

time[0]	Y[0]	time[1]	Y[1]
24/10/2022  15:22:58,677548	2,010050E-1	24/10/2022  15:22:58,677548	-9,045226E-5
24/10/2022  15:22:58,677548	1,884422E-1	24/10/2022  15:22:58,677548	-1,507538E-4
24/10/2022  15:22:58,677548	2,010050E-1	24/10/2022  15:22:58,677548	-1,407035E-4
24/10/2022  15:22:58,677549	2,010050E-1	24/10/2022  15:22:58,677549	-1,507538E-4
24/10/2022  15:22:58,677549	2,010050E-1	24/10/2022  15:22:58,677549	-1,105528E-4
24/10/2022  15:22:58,677550	1,884422E-1	24/10/2022  15:22:58,677550	-1,909548E-4
24/10/2022  15:22:58,677550	1,884422E-1	24/10/2022  15:22:58,677550	-1,708543E-4
24/10/2022  15:22:58,677550	1,884422E-1	24/10/2022  15:22:58,677550	-1,306533E-4
24/10/2022  15:22:58,677551	1,884422E-1	24/10/2022  15:22:58,677551	-1,608040E-4
24/10/2022  15:22:58,677551	2,010050E-1	24/10/2022  15:22:58,677551	-1,507538E-4
24/10/2022  15:22:58,677552	2,010050E-1	24/10/2022  15:22:58,677552	-1,809045E-4
24/10/2022  15:22:58,677552	2,010050E-1	24/10/2022  15:22:58,677552	-1,306533E-4
24/10/2022  15:22:58,677552	2,010050E-1	24/10/2022  15:22:58,677552	-1,608040E-4
24/10/2022  15:22:58,677553	2,010050E-1	24/10/2022  15:22:58,677553	-1,809045E-4
24/10/2022  15:22:58,677553	2,010050E-1	24/10/2022  15:22:58,677553	-1,909548E-4
24/10/2022  15:22:58,677554	1,884422E-1	24/10/2022  15:22:58,677554	-1,909548E-4
24/10/2022  15:22:58,677554	2,010050E-1	24/10/2022  15:22:58,677554	-1,809045E-4
24/10/2022  15:22:58,677554	1,884422E-1	24/10/2022  15:22:58,677554	-1,507538E-4
24/10/2022  15:22:58,677555	1,884422E-1	24/10/2022  15:22:58,677555	-2,110553E-4
24/10/2022  15:22:58,677555	2,010050E-1	24/10/2022  15:22:58,677555	-1,608040E-4
24/10/2022  15:22:58,677556	2,010050E-1	24/10/2022  15:22:58,677556	-1,005025E-4
24/10/2022  15:22:58,677556	2,010050E-1	24/10/2022  15:22:58,677556	-1,507538E-4
24/10/2022  15:22:58,677556	1,884422E-1	24/10/2022  15:22:58,677556	-1,909548E-4
24/10/2022  15:22:58,677557	1,884422E-1	24/10/2022  15:22:58,677557	-9,045226E-5
24/10/2022  15:22:58,677557	2,010050E-1	24/10/2022  15:22:58,677557	-2,311558E-4
24/10/2022  15:22:58,677558	2,010050E-1	24/10/2022  15:22:58,677558	-2,211055E-4
24/10/2022  15:22:58,677558	1,884422E-1	24/10/2022  15:22:58,677558	-9,045226E-5
24/10/2022  15:22:58,677558	1,884422E-1	24/10/2022  15:22:58,677558	-1,708543E-4
24/10/2022  15:22:58,677559	2,010050E-1	24/10/2022  15:22:58,677559	-1,708543E-4
24/10/2022  15:22:58,677559	2,010050E-1	24/10/2022  15:22:58,677559	-1,507538E-4
24/10/2022  15:22:58,677560	2,010050E-1	24/10/2022  15:22:58,677560	-1,608040E-4
24/10/2022  15:22:58,677560	1,884422E-1	24/10/2022  15:22:58,677560	-1,708543E-4
24/10/2022  15:22:58,677560	1,884422E-1	24/10/2022  15:22:58,677560	-1,809045E-4
24/10/2022  15:22:58,677561	2,010050E-1	24/10/2022  15:22:58,677561	-1,909548E-4
24/10/2022  15:22:58,677561	2,010050E-1	24/10/2022  15:22:58,677561	-1,809045E-4
24/10/2022  15:22:58,677562	1,884422E-1	24/10/2022  15:22:58,677562	-1,608040E-4
24/10/2022  15:22:58,677562	2,010050E-1	24/10/2022  15:22:58,677562	-2,010050E-4
24/10/2022  15:22:58,677562	2,010050E-1	24/10/2022  15:22:58,677562	-1,507538E-4
24/10/2022  15:22:58,677563	1,884422E-1	24/10/2022  15:22:58,677563	-1,407035E-4
24/10/2022  15:22:58,677563	2,010050E-1	24/10/2022  15:22:58,677563	-1,306533E-4
24/10/2022  15:22:58,677564	1,884422E-1	24/10/2022  15:22:58,677564	-1,708543E-4
24/10/2022  15:22:58,677564	1,884422E-1	24/10/2022  15:22:58,677564	-2,713568E-4
24/10/2022  15:22:58,677564	1,884422E-1	24/10/2022  15:22:58,677564	-1,507538E-4
24/10/2022  15:22:58,677565	1,884422E-1	24/10/2022  15:22:58,677565	-1,708543E-4
24/10/2022  15:22:58,677565	1,884422E-1	24/10/2022  15:22:58,677565	-1,608040E-4
24/10/2022  15:22:58,677566	2,010050E-1	24/10/2022  15:22:58,677566	-1,206030E-4
24/10/2022  15:22:58,677566	2,010050E-1	24/10/2022  15:22:58,677566	-1,407035E-4
24/10/2022  15:22:58,677566	2,010050E-1	24/10/2022  15:22:58,677566	-1,206030E-4
24/10/2022  15:22:58,677567	2,010050E-1	24/10/2022  15:22:58,677567	-1,708543E-4
24/10/2022  15:22:58,677567	1,884422E-1	24/10/2022  15:22:58,677567	-1,708543E-4
24/10/2022  15:22:58,677568	2,010050E-1	24/10/2022  15:22:58,677568	-1,005025E-4
24/10/2022  15:22:58,677568	2,010050E-1	24/10/2022  15:22:58,677568	-1,809045E-4
24/10/2022  15:22:58,677568	1,884422E-1	24/10/2022  15:22:58,677568	-1,909548E-4
24/10/2022  15:22:58,677569	1,884422E-1	24/10/2022  15:22:58,677569	-1,809045E-4
24/10/2022  15:22:58,677569	1,884422E-1	24/10/2022  15:22:58,677569	-1,407035E-4
24/10/2022  15:22:58,677570	1,884422E-1	24/10/2022  15:22:58,677570	-1,708543E-4
24/10/2022  15:22:58,677570	1,884422E-1	24/10/2022  15:22:58,677570	-2,613065E-4
24/10/2022  15:22:58,677570	2,010050E-1	24/10/2022  15:22:58,677570	-1,005025E-4
24/10/2022  15:22:58,677571	1,884422E-1	24/10/2022  15:22:58,677571	-1,507538E-4
24/10/2022  15:22:58,677571	1,884422E-1	24/10/2022  15:22:58,677571	-1,909548E-4
24/10/2022  15:22:58,677572	2,010050E-1	24/10/2022  15:22:58,677572	-1,507538E-4
24/10/2022  15:22:58,677572	1,884422E-1	24/10/2022  15:22:58,677572	-1,708543E-4
24/10/2022  15:22:58,677572	2,010050E-1	24/10/2022  15:22:58,677572	-1,809045E-4
24/10/2022  15:22:58,677573	2,010050E-1	24/10/2022  15:22:58,677573	-1,005025E-4
24/10/2022  15:22:58,677573	2,010050E-1	24/10/2022  15:22:58,677573	-1,507538E-4
24/10/2022  15:22:58,677574	1,884422E-1	24/10/2022  15:22:58,677574	-2,010050E-4
24/10/2022  15:22:58,677574	2,010050E-1	24/10/2022  15:22:58,677574	-1,306533E-4
24/10/2022  15:22:58,677574	1,884422E-1	24/10/2022  15:22:58,677574	-1,105528E-4
24/10/2022  15:22:58,677575	2,010050E-1	24/10/2022  15:22:58,677575	-1,407035E-4
24/10/2022  15:22:58,677575	2,010050E-1	24/10/2022  15:22:58,677575	-1,407035E-4
24/10/2022  15:22:58,677576	2,010050E-1	24/10/2022  15:22:58,677576	-9,045226E-5
24/10/2022  15:22:58,677576	1,884422E-1	24/10/2022  15:22:58,677576	-2,311558E-4
24/10/2022  15:22:58,677576	2,010050E-1	24/10/2022  15:22:58,677576	-1,708543E-4
24/10/2022  15:22:58,677577	2,010050E-1	24/10/2022  15:22:58,677577	-2,010050E-4
24/10/2022  15:22:58,677577	2,010050E-1	24/10/2022  15:22:58,677577	-1,608040E-4
24/10/2022  15:22:58,677578	1,884422E-1	24/10/2022  15:22:58,677578	-1,909548E-4
24/10/2022  15:22:58,677578	2,010050E-1	24/10/2022  15:22:58,677578	-1,708543E-4
24/10/2022  15:22:58,677578	1,884422E-1	24/10/2022  15:22:58,677578	-2,613065E-4
24/10/2022  15:22:58,677579	2,010050E-1	24/10/2022  15:22:58,677579	-1,306533E-4
24/10/2022  15:22:58,677579	1,884422E-1	24/10/2022  15:22:58,677579	-1,708543E-4
24/10/2022  15:22:58,677580	1,884422E-1	24/10/2022  15:22:58,677580	-1,708543E-4
24/10/2022  15:22:58,677580	2,010050E-1	24/10/2022  15:22:58,677580	-9,045226E-5
24/10/2022  15:22:58,677580	2,010050E-1	24/10/2022  15:22:58,677580	-1,507538E-4
24/10/2022  15:22:58,677581	2,010050E-1	24/10/2022  15:22:58,677581	-2,311558E-4
24/10/2022  15:22:58,677581	2,010050E-1	24/10/2022  15:22:58,677581	-1,407035E-4
24/10/2022  15:22:58,677582	2,010050E-1	24/10/2022  15:22:58,677582	-2,311558E-4
24/10/2022  15:22:58,677582	1,884422E-1	24/10/2022  15:22:58,677582	-1,608040E-4
24/10/2022  15:22:58,677582	2,010050E-1	24/10/2022  15:22:58,677582	-1,005025E-4
24/10/2022  15:22:58,677583	1,884422E-1	24/10/2022  15:22:58,677583	-1,608040E-4
24/10/2022  15:22:58,677583	1,884422E-1	24/10/2022  15:22:58,677583	-1,708543E-4
24/10/2022  15:22:58,677584	2,010050E-1	24/10/2022  15:22:58,677584	-2,110553E-4
24/10/2022  15:22:58,677584	1,884422E-1	24/10/2022  15:22:58,677584	-2,311558E-4
24/10/2022  15:22:58,677584	1,884422E-1	24/10/2022  15:22:58,677584	-1,407035E-4
24/10/2022  15:22:58,677585	1,884422E-1	24/10/2022  15:22:58,677585	-1,206030E-4
